COLLECTTIME,CELLID,SITE,NR_SA_Paging_Discard_Rate,NR_DL_Active_UEs,NR_UL_Active_UEs,NR_DL_MAC_Volume_MB,NR_UL_MAC_Volume_MB,NR_DL_Active_UEs_True,NR_UL_Active_UEs_True,NR_DL_RBSym_Util,NR_UL_RBSym_Util,NR_Msg2_Attempt_SR,NR_Msg2_Attempts,NR_RACH_SR,NR_RACH_Att,NR_UL_MAC_Cell_Thp_total_time_Mbps,NR_DL_MAC_Cell_Thp_total_time_Mbps,NR_DL_HARQ_BLER_256QAM,NR_DL_RLC_BLER,NR_Avg_DL_MAC_Thp_Mbps,NR_Avg_UL_MAC_UE_Thp_Mbps,NR_DL_MAC_Cell_Thp_Mbps,NR_UL_MAC_Cell_Thp_Mbps,NR_UL_HARQ_BLER_64_QAM,NR_UL_RLC_BLER,NR_UL_HARQ_BLER,NR_DL_HARQ_BLER,NR_UL_DTX_Rate,NR_DL_DTX_Rate,NR_Cell_Availability,NR_Avg_UL_PUCCH_SINR_dB,NR_Avg_UL_PUSCH_SINR_dB,NR_RANK_Below3_Rate,NR_Avg_CQI,NR_Avg_CQI_64QAM,NR_Avg_CQI_256QAM,NR_Avg_UL_Pathloss_dB,NR_Avg_UL_Power_Headroom_dB,NR_Avg_UL_Pathloss_95percentile_dB,NR_UL_RSSI,NR_Avg_MCS_Table1,NR_Avg_MCS_Table2,NR_TA,DL_Thp_Bad_Sessions,DL_Thp_Fair_Sessions,DL_Thp_Good_Sessions,DL_Thp_Excellent_Sessions,UL_Thp_Bad_Sessions,UL_Thp_Fair_Sessions,UL_Thp_Good_Sessions,UL_Thp_Excellent_Sessions,NR_Avg_UL_MAC_Thp_EBS_Mbps,NR_Avg_DL_MAC_Thp_EBS_Mbps,DL_Total_Sessions,UL_Total_Sessions,NR_Avg_DL_Latency_ms,NR_Cell_Availability_Num,NR_ENDC_Setup_Att,NR_ENDC_Setup_SR,NR_SA_RRC_ATT,NR_SA_RRC_SSSR,NR_SA_NG_Sig_SR,NR_ENDC_Inter_sgNodeB_PSCell_Change_SR,NR_ENDC_Intra_sgNodeB_PSCell_Change_SR,NR_SA_NR_to_LTE_RWR_Ratio,NR_SA_INTER_GNB_HO_SR,NR_SA_INTRA_GNB_HO_SR,NR_SA_HO_Prep_Succ_Rate,NR_SA_HO_Exec_Succ_Rate,NR_SA_HO_SR,NR_ENDC_SARR,NR_ENDC_RRC_CU_Max,NR_SA_RRC_CU_Max,NR_ENDC_RRC_CU_Avg,NR_SA_DRB_EST_SR,NR_SA_Drop_Rate,NR_SgNB_Abnormal_RR,NR_RRC_SSR,ESS_TOTAL_PRB_AVG_UTIL_DL,ESS_NR_PRB_AVG_UTIL_DL,essEnabled
20260704154500,AYT0381H_7NB01_S04,AYT0381P_9NB01,0.0,1.035,1.039,16.159,16.67,0.04,0.081,4.21,0.776,100.0,125.0,64.0,125.0,0.155,0.151,35.2,,21.174,12.395,9.205,6.895,9.796,,4.81,11.209,9.931,1.357,100.0,4.932,16.775,100.0,7.8,,7.8,113.125,19.801,118.564,-114.647,11.759,,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,66.0,100.0,0.0,,,100.0,100.0,,,,,,,3.896,6.0,0.0,1.95,,,0.0,,16.549122641509435,1.433553459119497,1
20260704161500,AYT0381H_7NB01_S02,AYT0381P_9NB01,0.0,1.108,1.444,14.005,35.53,0.211,0.994,7.813,3.452,100.0,248.0,68.145,248.0,0.331,0.131,,,3.315,3.892,1.581,3.229,9.486,,6.491,16.825,47.113,28.259,100.0,4.938,15.961,,10.483,10.483,,116.885,17.311,116.294,-115.989,11.108,,7.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.0,92.0,100.0,0.0,,,100.0,100.0,,,,,,,7.143,9.0,0.0,4.944,,,0.0,,36.18036687631027,2.7959748427672957,1
20260704161500,AYT0381H_7NB01_S04,AYT0381P_9NB01,0.0,1.007,1.009,34.791,4.36,0.033,0.043,4.351,0.14,100.0,74.0,67.568,74.0,0.041,0.324,26.183,,26.267,24.246,18.998,3.984,8.594,,4.44,10.616,7.968,3.181,100.0,4.206,17.911,100.0,8.14,,8.14,106.009,25.078,104.082,-114.289,12.678,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,31.0,100.0,0.0,,,100.0,100.0,,,,,,,6.061,3.0,0.0,0.6,,,0.0,,16.756311320754715,1.6805031446540881,1
20260704161500,AYT0381H_7NB01_S01,AYT0381P_9NB01,0.0,2.904,3.922,716.099,196.499,2.572,3.841,32.346,11.515,100.0,1033.0,81.897,1033.0,1.832,6.675,9.093,,8.545,2.413,15.124,4.431,7.739,,4.966,10.838,4.639,2.258,100.0,5.134,17.525,100.0,8.335,,8.335,113.189,15.971,112.308,-113.192,13.084,,6.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.584,0.0,676.0,100.0,0.0,,,100.0,100.0,,,,,,,1.745,47.0,0.0,34.961,,,0.0,,54.067416142557654,20.057307127882602,1
20260704161500,AYT0381H_7NB01_S03,AYT0381P_9NB01,0.0,1.094,1.496,114.489,23.199,0.176,0.937,9.35,0.842,100.0,201.0,93.035,201.0,0.216,1.067,25.184,,27.695,18.919,9.493,2.891,6.656,,3.563,12.509,8.128,4.815,100.0,5.672,21.214,100.0,9.042,,9.042,107.221,23.09,106.441,-115.693,14.64,,6.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,138.0,100.0,0.0,,,100.0,100.0,,,,,,,1.887,9.0,0.0,4.661,,,0.0,,25.350963312368975,3.960309224318658,1
20260704163000,AYT0381H_7NB01_S01,AYT0381P_9NB01,0.0,2.055,3.463,523.006,143.053,1.517,3.358,26.501,9.816,100.0,953.0,87.723,953.0,1.333,4.875,11.204,,11.427,2.907,15.222,4.181,8.789,,5.095,11.915,7.869,3.152,100.0,4.928,16.716,100.0,8.298,,8.298,115.665,14.909,112.794,-112.785,12.199,,5.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.276,0.0,711.0,100.0,1.0,,,100.0,100.0,,,,,,,0.769,36.0,0.0,29.033,,,0.0,100.0,50.43339679308113,15.023170938615099,1
20260704163000,AYT0381H_7NB01_S02,AYT0381P_9NB01,0.0,1.147,1.379,24.006,114.289,0.278,0.785,6.819,6.285,99.476,190.0,84.211,191.0,1.065,0.224,,,12.244,8.147,2.482,7.732,9.82,,6.587,14.662,37.68,21.462,100.0,5.171,16.208,,10.916,10.915,,115.608,15.822,116.136,-115.312,12.283,,8.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.727,0.0,145.0,98.621,0.0,,,100.0,100.0,,,,,,,8.917,9.0,0.0,4.422,,,0.0,,35.03518539067451,2.261469185369668,1
20260704163000,AYT0381H_7NB01_S04,AYT0381P_9NB01,0.0,1.017,1.028,46.614,5.232,0.065,0.065,5.646,0.292,100.0,209.0,52.153,209.0,0.049,0.434,14.835,,29.537,6.877,17.202,3.245,9.279,,5.774,17.287,22.124,11.465,100.0,5.488,17.479,100.0,8.515,,8.513,111.093,19.104,120.629,-114.254,10.749,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,86.0,100.0,0.0,,,100.0,100.0,,,,,,,16.129,5.0,0.0,1.617,,,0.0,,20.748894136448865,2.042562720003686,1
20260704163000,AYT0381H_7NB01_S03,AYT0381P_9NB01,0.0,1.081,1.232,88.694,16.448,0.149,0.564,9.767,0.986,100.0,249.0,80.321,249.0,0.153,0.827,20.758,,23.303,3.999,6.987,1.883,7.448,,4.336,13.478,8.276,5.553,100.0,5.5,19.991,100.0,8.623,,8.622,110.681,20.015,114.718,-115.653,14.132,,10.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.279,0.0,135.0,100.0,0.0,,,97.778,100.0,,,,,,,2.367,7.0,0.0,3.583,,,0.592,,34.71641111174446,3.7634140574225357,1
20260704164500,AYT0381H_7NB01_S02,AYT0381P_9NB01,0.0,1.063,1.162,11.917,125.268,0.132,0.498,4.965,5.347,98.851,172.0,79.07,174.0,1.168,0.111,,,10.176,15.85,1.919,9.394,10.035,,5.052,12.933,9.058,2.697,100.0,5.439,16.478,,10.716,10.716,,112.482,20.923,107.877,-116.0,14.0,,6.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6,0.0,99.0,100.0,1.0,,,100.0,100.0,,,,,,,8.411,8.0,0.0,3.55,,,0.0,100.0,23.714299790356392,1.610889937106918,1
